age,arab,children_0_4,lwage_2011,marital,schooling,status,yeshiva
21,0,0,,4,12,4,0
82,0,0,,1,12,4,0
72,0,0,,2,8,4,0
73,0,0,3.624084,4,15,1,0
60,0,0,4.752634,2,16,1,0
41,0,0,4.695049,1,21,2,0
75,0,0,,1,16,4,0
26,0,0,4.713704,4,14,1,0
47,0,0,4.060748,1,15,1,0
21,0,0,,4,12,4,0
74,0,1,,3,12,4,0
32,0,1,,1,13,4,0
36,0,1,3.143794,1,12,1,0
40,0,0,4.696138,2,19,1,0
28,0,0,,4,12,4,0
59,0,0,4.395048,1,12,1,0
30,0,0,4.165883,4,14,1,0
80,0,0,,3,14,4,0
31,0,0,4.657057,1,17,1,0
57,0,0,,1,51,4,1
21,0,0,,4,16,4,1
30,0,2,3.782719,1,24,1,1
27,0,2,,1,21,4,1
35,0,1,,1,25,4,1
50,0,0,3.285145,1,18,1,0
51,0,0,3.962315,1,12,1,0
79,0,0,,1,14,4,0
49,0,0,,1,8,4,0
48,0,0,,1,15,4,0
30,0,2,4.208214,1,12,1,0
63,0,0,3.744526,4,8,1,0
47,0,0,2.330884,4,12,1,0
61,0,0,4.399862,1,12,1,0
59,0,0,5.099585,1,12,1,0
21,0,0,,4,13,4,0
21,0,0,,4,10,4,0
21,0,0,3.385503,4,10,1,0
21,0,0,,4,12,4,1
50,0,0,3.41254,1,8,1,0
45,0,0,,1,14,4,1
72,0,0,,2,19,4,0
21,0,0,,1,16,4,1
46,0,0,3.42403,1,15,1,0
61,0,0,,1,7,4,0
44,0,1,3.887654,1,12,1,0
35,0,0,4.782708,4,16,1,0
52,0,0,4.603089,1,14,1,0
51,0,0,4.296484,1,46,1,1
64,0,0,3.345888,1,15,1,0
39,0,1,4.572939,1,21,1,0
26,0,0,,4,11,4,0
63,0,0,,1,10,4,0
37,0,1,3.946079,1,18,1,0
56,0,1,,1,46,4,1
16,0,1,,4,11,4,1
27,0,2,,1,17,4,1
57,0,0,5.014937,1,15,2,0
59,0,0,3.200125,1,12,1,0
21,0,0,,4,12,4,0
21,0,0,,4,12,4,0
39,0,1,,1,12,4,0
39,0,1,3.592992,1,12,1,0
21,0,0,,4,12,4,0
56,0,0,3.453916,1,12,1,0
28,0,0,3.541506,4,12,1,0
36,0,0,6.227853,4,14,1,0
42,0,0,5.024144,4,17,2,0
29,0,0,4.183094,4,14,1,0
43,0,1,4.558188,1,16,1,0
40,0,0,3.323463,4,11,1,0
53,0,0,3.557326,1,12,1,0
78,0,0,,1,10,4,0
79,0,0,,2,15,4,0
17,0,2,,4,11,4,0
35,0,2,3.257386,1,10,1,0
68,0,0,,2,12,4,0
37,0,2,4.818268,1,15,1,0
28,0,0,,4,22,4,1
56,0,0,3.703147,1,12,1,0
26,0,0,,1,12,4,0
59,0,0,3.604123,1,8,1,0
15,0,0,,4,9,4,0
21,0,0,,4,12,4,0
21,0,0,,4,12,4,0
25,0,0,3.116277,4,12,1,0
56,0,0,4.710161,1,20,1,0
26,0,0,,4,16,4,0
17,0,0,,4,12,4,0
21,0,0,,4,14,4,0
56,0,0,3.655748,1,14,1,0
25,0,0,3.655416,4,13,1,0
27,0,0,3.549226,4,13,1,0
21,0,0,,4,12,4,0
56,0,0,4.67077,1,14,1,0
17,0,0,,4,12,4,0
21,1,0,,4,14,4,0
51,1,0,3.732515,1,12,1,0
68,1,0,,1,10,4,0
60,1,0,,1,7,4,0
16,1,0,,4,10,4,0
21,1,0,,4,10,4,0
21,1,0,,4,10,4,0
54,0,0,3.26381,1,12,1,0
74,0,0,,1,8,4,0
32,0,0,3.208623,4,14,1,0
82,0,0,,1,15,4,0
54,0,0,3.26105,1,10,1,0
71,0,0,,2,19,4,0
21,0,0,3.358417,4,12,1,0
42,0,0,3.249652,1,10,1,0
21,0,0,,4,12,4,0
21,0,0,3.029565,4,12,1,0
16,0,0,,4,10,4,0
75,0,0,,1,10,4,0
26,0,0,3.051032,4,18,1,0
62,0,0,,1,18,4,0
35,0,1,4.518558,1,13,1,0
21,0,0,3.498442,1,15,1,0
75,0,0,,1,15,4,0
43,0,0,3.702071,1,12,1,0
56,0,0,3.702071,1,11,1,0
21,0,0,,4,14,4,0
53,0,0,4.109479,1,13,1,0
52,0,0,3.490407,1,12,1,0
62,0,0,3.454261,2,10,1,0
62,0,0,,1,19,4,0
21,0,0,,4,13,4,0
47,0,0,3.595972,1,15,1,0
21,0,0,,4,12,4,0
36,0,2,,1,13,4,0
21,0,0,,4,12,4,0
42,0,0,2.991876,2,12,1,0
40,0,0,3.989944,1,10,1,0
21,0,0,,1,16,4,1
62,0,0,5.282885,1,16,1,0
37,0,1,,1,31,4,1
15,0,1,,4,10,4,0
36,0,1,4.031973,1,13,1,0
48,0,1,,1,30,4,1
17,0,1,,4,11,4,0
21,0,1,,4,15,4,1
15,0,1,,4,10,4,0
61,0,0,3.501783,1,17,1,0
76,0,0,,1,12,4,0
33,0,1,4.412448,1,19,1,0
36,0,2,3.389637,1,13,1,0
67,0,0,3.415516,1,12,1,0
80,0,0,,1,14,4,0
21,0,1,,4,12,4,0
53,0,1,4.914244,1,12,1,0
82,0,0,,1,12,4,0
54,0,0,5.374043,1,18,1,0
33,1,0,3.512449,1,12,1,0
68,0,0,,1,8,4,0
21,0,0,,4,12,4,0
36,0,1,3.7713,1,13,1,0
74,0,0,,1,12,4,0
38,0,0,3.787349,1,14,1,0
61,0,0,,2,16,4,0
58,0,0,,1,12,4,0
21,0,0,,4,12,4,0
33,0,1,2.854584,1,12,1,0
40,0,1,,1,12,4,0
21,0,0,,4,14,4,0
55,0,0,3.542397,1,16,1,0
81,0,0,,1,12,4,0
26,1,0,3.92741,1,14,1,0
75,1,0,,1,0,4,0
21,1,0,,4,8,4,0
15,1,0,,4,8,4,0
16,1,0,,4,10,4,0
30,1,2,3.944738,1,16,1,0
32,1,2,,1,10,4,0
37,1,0,3.129384,1,10,1,0
72,0,0,,1,12,4,0
38,0,1,3.589531,1,12,1,0
28,0,1,3.673363,1,16,1,0
69,0,0,3.53972,1,20,1,0
61,0,0,,1,14,4,0
37,1,2,3.514955,1,12,1,0
45,0,1,4.188955,1,18,1,0
29,0,1,3.407031,4,15,1,0
35,0,0,4.884487,4,17,1,0
52,0,0,3.562777,1,0,1,0
27,0,0,3.667051,4,13,1,0
26,0,0,3.519712,4,14,1,0
21,0,0,,4,13,4,0
49,0,0,4.80138,1,13,1,0
21,0,0,2.025953,4,12,1,0
21,0,0,,4,12,4,0
59,0,0,4.374169,1,11,1,0
28,0,0,,1,16,4,0
50,0,0,,2,2,4,0
72,0,0,,1,16,4,0
32,0,2,,1,26,4,1
21,0,0,,4,12,4,0
21,0,0,,4,11,4,0
71,0,0,,1,15,4,0
60,0,0,4.237993,1,12,2,0
40,0,1,3.584075,1,13,1,0
43,0,1,4.081795,1,15,1,0
21,0,1,,4,12,4,0
21,0,1,3.194469,4,12,1,0
38,0,1,4.473671,1,16,1,0
44,0,0,4.289896,1,11,1,0
54,0,0,4.015488,1,12,1,0
21,0,0,,4,14,4,0
26,0,0,3.506558,4,16,1,0
75,0,0,,1,8,4,0
64,0,0,,1,11,4,0
36,0,2,5.203987,1,16,1,0
21,0,0,,4,12,4,0
21,0,0,3.045029,4,12,1,0
21,0,0,,4,12,4,0
76,0,0,,1,12,4,0
36,0,1,,1,17,4,0
77,0,0,,1,14,4,0
35,0,2,4.876593,1,18,1,0
55,0,0,3.913039,1,13,1,0
68,0,0,,1,15,4,0
54,0,0,4.363588,1,15,1,0
77,0,0,,1,14,4,0
28,0,4,3.288406,1,11,1,0
21,0,0,,4,10,4,0
48,0,0,,1,5,4,0
16,0,0,,4,10,4,0
61,1,0,,1,8,4,0
32,1,1,4.072329,1,16,1,0
25,1,0,,4,12,4,0
29,1,0,3.444695,4,8,1,0
36,1,2,3.651428,1,12,1,0
47,1,1,,1,8,4,0
15,1,1,,4,10,4,0
57,1,0,4.531879,1,16,1,0
27,1,0,3.290355,4,14,1,0
32,1,2,3.244563,1,12,1,0
52,1,0,,1,12,4,0
21,1,0,,4,13,4,0
39,1,2,3.586823,1,12,1,0
16,0,0,,4,10,4,1
43,0,0,4.113124,1,18,1,1
26,0,2,3.602078,1,12,1,1
15,0,1,,4,9,4,0
40,0,1,3.188833,1,11,1,0
44,0,0,4.012891,2,11,1,0
42,0,1,3.970699,1,15,1,0
56,0,0,3.770165,1,12,1,0
77,0,0,,3,13,4,0
27,0,0,3.566438,4,15,1,0
28,0,0,3.343359,4,14,1,0
60,1,0,4.772367,1,12,1,0
28,1,0,4.733978,4,16,1,0
44,1,0,3.569896,1,8,1,0
17,1,0,,4,11,4,0
15,1,0,,4,9,4,0
40,1,0,,1,9,4,0
39,1,2,3.326601,1,10,1,0
79,1,0,,1,0,4,0
59,1,0,,1,6,4,0
74,1,0,,1,0,4,0
72,1,0,,1,7,4,0
43,1,0,3.53972,4,12,1,0
47,1,0,3.489085,1,12,1,0
28,1,1,,1,12,4,0
59,1,0,,1,7,4,0
37,1,0,3.455022,1,9,1,0
21,1,0,3.170617,4,12,1,0
21,1,0,3.592137,4,12,1,0
15,1,0,,4,10,4,0
38,0,1,4.742091,1,24,1,0
17,0,0,,4,11,4,0
49,0,0,4.635872,1,18,1,0
33,0,2,3.825921,1,12,1,0
36,0,1,3.993237,1,12,1,0
26,0,1,4.1097,1,13,1,0
25,0,0,3.645081,4,12,1,0
15,0,0,,4,9,4,0
41,0,0,3.889981,1,16,1,0
21,0,0,,4,12,4,0
